Year;Rank;Country;Documents;Citable.documents;Citations;Self.Citations;Citations.per.Document;H.index
2000;115;Gambia;69;60;2973;230;43,09;90
2000;116;Mauritius;65;64;646;40;9,94;50
2000;117;Malta;62;60;800;50;12,9;75
2000;118;New Caledonia;62;62;1435;193;23,15;66
2000;119;Qatar;62;61;440;29;7,1;70
2000;120;Bosnia and Herzegovina;54;52;658;158;12,19;55
2000;121;Congo;53;47;1016;85;19,17;63
2000;122;Mongolia;53;53;1732;71;32,68;65
2000;123;Guatemala;52;48;903;45;17,37;63
2000;124;Brunei Darussalam;51;48;1073;74;21,04;49
2000;125;Gabon;51;46;1842;227;36,12;73
2000;126;Togo;51;44;525;51;10,29;37
2000;127;Palestine ;50;50;426;95;8,52;53
2000;128;Fiji;49;49;752;46;15,35;52
2000;129;Niger;48;46;900;62;18,75;54
2000;130;Guadeloupe;44;44;776;76;17,64;49
2000;131;Yemen;42;41;701;57;16,69;46
2000;132;French Polynesia;41;38;1334;111;32,54;54
2000;133;Albania;40;39;541;52;13,53;43
2000;134;Kyrgyzstan;40;39;158;20;3,95;40
2000;135;Namibia;37;37;582;60;15,73;67
2000;136;Mozambique;36;33;1057;104;29,36;66
2000;137;Mali;35;33;925;71;26,43;68
2000;138;Barbados;34;33;546;30;16,06;60
2000;139;Liechtenstein;33;33;670;19;20,3;50
2000;140;Dominican Republic;32;31;1150;30;35,94;47
2000;141;Tajikistan;31;31;101;13;3,26;28
2000;142;Nicaragua;29;29;867;56;29,9;56
2000;143;Honduras;27;27;448;14;16,59;48
2000;144;Monaco;27;23;1031;139;38,19;69
2000;145;Myanmar;27;26;639;63;23,67;46
2000;146;Swaziland;27;27;651;3;24,11;41
2000;147;Paraguay;25;25;767;59;30,68;54
2000;148;French Guiana;24;23;706;59;29,42;51
2000;149;Cambodia;24;23;484;23;20,17;65
2000;150;Greenland;23;22;501;55;21,78;45
2000;151;Guyana;22;21;338;20;15,36;30
2000;152;Bermuda;20;20;652;35;32,6;69
2000;153;Martinique;20;19;206;8;10,3;36
2000;154;Guam;19;18;714;18;37,58;52
2000;155;Laos;18;18;200;51;11,11;54
2000;156;Macao;18;18;58;1;3,22;47
2000;157;Netherlands Antilles;17;16;295;12;17,35;42
2000;158;El Salvador;17;17;317;19;18,65;40
2000;159;Mauritania;16;16;645;19;40,31;30
2000;160;Angola;15;15;269;21;17,93;31
2000;161;Eritrea;13;13;429;29;33;32
2000;162;Central African Republic;12;12;251;8;20,92;39
2000;163;Falkland Islands (Malvinas);12;11;170;44;14,17;31
2000;164;Solomon Islands;12;12;202;19;16,83;31
2000;165;Seychelles;12;12;406;20;33,83;41
2000;166;Turkmenistan;12;12;192;11;16;19
2000;167;Haïti;11;11;289;18;26,27;43
2000;168;Sierra Leone;11;11;127;12;11,55;26
2000;169;Faroe Islands;10;10;596;74;59,6;45
2000;170;Lesotho;10;10;56;1;5,6;26
2000;171;Virgin Islands (U.S.);10;9;218;2;21,8;27
