"";"AGE";"SEXE";"REGION";"STAT_MARI";"SAL_HOR";"SYNDICAT";"CATEGORIE";"NIV_ETUDES";"NB_PERS";"NB_ENF";"REV_FOYER"
"68";22;"F";"NE";"C";13,05;"non";"Transports et Service";"BAC";2;0;"40 - < 60"
"69";21;"F";"S";"C";11,22;NA;"Employe";"BAC";2;0;"40 - < 60"
"70";48;"M";"S";"M";NA;"oui";"Gestion et Vente";"BAC+3";5;2;">= 100"
"71";42;"M";"W";"M";NA;NA;"Gestion et Vente";"BAC+3";3;1;"40 - < 60"
"72";59;"M";"S";"M";25;NA;"Transports et Service";"Sans diplome";4;0;"60 - < 100"
"73";55;"M";"NW";"D";7,4;"non";"Construction et Maintenance";"BAC";1;0;"< 40"
"74";59;"F";"W";"M";15;NA;"Production et Agriculture";"BAC";6;0;"< 40"
"75";23;"F";"W";"C";NA;NA;"Production et Agriculture";"BAC";2;0;"< 40"
"76";43;"F";"W";"M";NA;NA;"Transports et Service";"BAC+2";3;1;"40 - < 60"
"77";28;"M";"NW";"C";39;NA;"Gestion et Vente";"BAC+3";1;0;"< 40"
"78";38;"F";"NE";"M";8,3;NA;"Gestion et Vente";"BAC+3";4;2;"60 - < 100"
"79";42;"M";"NE";"M";30,27;NA;"Production et Agriculture";"BAC";6;3;"60 - < 100"
"80";57;"M";NA;"M";NA;NA;NA;NA;2;NA;NA
"81";48;"F";"W";"M";15;NA;"Gestion et Vente";"BAC+2";6;1;">= 100"
"82";53;"M";"W";"D";21,76;"non";"Profession liberale";"BAC";1;0;"40 - < 60"
"83";29;"F";"NW";"D";22,48;NA;"Gestion et Vente";"BAC+3";3;0;"40 - < 60"
"84";65;"F";"W";"V";12;NA;"Transports et Service";"Sans diplome";7;0;"< 40"
"85";46;"F";"NW";"D";19,5;NA;"Profession liberale";"BAC+5";2;1;"40 - < 60"
"86";53;"M";"S";"M";NA;NA;"Gestion et Vente";"BAC+3";2;0;"60 - < 100"
"87";59;"F";"NW";"M";NA;NA;"Gestion et Vente";"BAC";3;0;"60 - < 100"
"88";43;"M";"S";"M";10;NA;NA;"BAC";5;3;"40 - < 60"
"89";34;"M";"W";"M";9,5;"non";"Transports et Service";"BAC";7;5;"60 - < 100"
"90";50;"M";"NE";"M";32;NA;"Production et Agriculture";"BAC+3";4;1;"60 - < 100"
"91";54;"M";"NE";"M";14,41;NA;"Construction et Maintenance";"BAC+2";4;2;"40 - < 60"
"92";54;"F";"NE";"M";17;NA;"Employe";"BAC+2";2;0;"60 - < 100"
