"";"AGE";"SEXE";"REGION";"STAT_MARI";"SAL_HOR";"SYNDICAT";"CATEGORIE";"NIV_ETUDES";"NB_PERS";"NB_ENF";"REV_FOYER"
"299";51;"M";"NE";"M";15,5;NA;"Gestion et Vente";"BAC";6;1;">= 100"
"300";32;"M";"S";"M";7,25;"non";"Transports et Service";"BAC";8;6;"< 40"
"301";25;"M";"W";"C";37,35;NA;"Construction et Maintenance";"BAC";7;0;"40 - < 60"
"302";29;"F";"S";"C";3,5;NA;"Transports et Service";"BAC";4;1;"40 - < 60"
"303";49;"F";"NE";"M";27;NA;NA;"BAC+2";NA;NA;NA
"304";23;"F";"NE";"C";12;NA;"Transports et Service";"BAC";2;0;"40 - < 60"
"305";26;"F";"W";"C";10;"non";"Gestion et Vente";"BAC";8;0;">= 100"
"306";31;"F";"S";"C";11;NA;"Profession liberale";"BAC+3";4;0;"< 40"
"307";37;"M";"S";"M";13;"non";"Transports et Service";"Sans diplome";5;3;"< 40"
"308";54;"F";"NW";"M";18;"non";"Employe";"BAC";2;0;"60 - < 100"
"309";31;"M";"S";"C";12;NA;"Transports et Service";"Sans diplome";8;2;"< 40"
"310";18;"M";"NE";"C";8;"non";"Profession liberale";"BAC";4;0;">= 100"
"311";57;"F";"S";"C";18;NA;"Employe";"BAC+3";1;0;">= 100"
"312";60;"F";"NW";"M";8,16;"non";"Transports et Service";"BAC";2;0;"< 40"
"313";35;"M";"NW";"C";14,5;NA;"Construction et Maintenance";"BAC";1;0;"< 40"
"314";24;"M";"NE";"C";12;NA;"Employe";"BAC";2;0;"40 - < 60"
"315";37;"M";"NW";"C";30;NA;NA;"Sans diplome";3;0;"< 40"
"316";26;"M";"S";"C";9;"non";"Transports et Service";"BAC";2;0;"< 40"
"317";54;"M";"NW";"S";8;"non";"Transports et Service";"Sans diplome";2;0;"< 40"
"318";76;"M";"S";"C";14,9;NA;"Transports et Service";"BAC";1;0;"< 40"
"319";28;"F";"S";"M";36,05;NA;"Gestion et Vente";"BAC+3";3;1;">= 100"
"320";43;"F";"W";"C";22;NA;"Gestion et Vente";"BAC+2";2;0;"40 - < 60"
"321";63;"F";"W";"D";15,5;NA;"Employe";"BAC+5";1;0;"40 - < 60"
"322";24;"M";"S";"C";10;NA;"Transports et Service";"BAC";2;0;">= 100"
"323";59;"F";"S";"M";55;NA;"Profession liberale";"BAC+3";2;0;">= 100"
"324";47;"M";"W";"M";13;NA;"Construction et Maintenance";"BAC";6;0;"< 40"
"325";31;"M";"W";"M";NA;NA;"Construction et Maintenance";"Sans diplome";6;3;"< 40"
"326";48;"F";"W";"D";10;NA;"Employe";"BAC";2;0;"60 - < 100"
"327";42;"M";"S";"M";15,1;NA;"Production et Agriculture";"Sans diplome";5;2;"< 40"
"328";28;"F";"S";"M";9;"non";"Transports et Service";NA;6;1;"60 - < 100"
"329";35;"M";"S";NA;NA;NA;"Production et Agriculture";"BAC";3;1;"40 - < 60"
"330";38;"M";"W";"M";20;NA;"Gestion et Vente";"BAC+3";4;2;"60 - < 100"
"331";56;"M";"S";"M";NA;NA;"Employe";"BAC";2;0;"60 - < 100"
"332";45;"M";"NE";"M";NA;NA;"Transports et Service";"BAC";2;0;"60 - < 100"
"333";33;"F";"NW";"C";14,5;NA;"Profession liberale";"BAC";3;2;"< 40"
"334";34;"M";NA;NA;NA;NA;NA;NA;NA;NA;NA
"335";55;"F";"S";"C";NA;NA;"Profession liberale";"BAC";2;0;"60 - < 100"
"336";23;"F";"NE";"C";14;NA;"Profession liberale";"BAC+2";2;0;"< 40"
"337";63;"M";"S";"M";NA;"non";"Transports et Service";"BAC+3";NA;0;"60 - < 100"
"338";24;"F";"W";"M";9;"non";"Transports et Service";"BAC";6;2;"60 - < 100"
"339";26;"M";"W";"M";20,75;NA;"Transports et Service";"BAC";2;0;">= 100"
"340";41;"M";NA;NA;NA;NA;NA;"BAC";4;NA;"40 - < 60"
"341";68;"M";"NW";"M";16,29;NA;"Transports et Service";"BAC+3";2;0;"40 - < 60"
"342";68;"F";"W";"M";NA;"oui";"Transports et Service";"BAC";2;0;"40 - < 60"
"343";28;"M";"S";"C";14;NA;"Construction et Maintenance";NA;3;1;"60 - < 100"
"344";32;"F";"NE";"M";16,34;NA;"Gestion et Vente";"BAC+5";2;0;">= 100"
"345";38;"M";NA;NA;NA;NA;NA;NA;8;NA;">= 100"
"346";24;"F";"W";"C";7,65;"non";"Transports et Service";"BAC";4;0;"< 40"
"347";27;"F";"W";"M";14;"non";"Profession liberale";"BAC";2;0;"60 - < 100"
"348";18;"F";"S";"C";7,25;NA;"Gestion et Vente";"BAC";4;0;"40 - < 60"
"349";40;"F";"W";"C";10;NA;"Profession liberale";"BAC";7;2;"< 40"
"350";66;"M";"S";"M";8;"non";"Transports et Service";"BAC";2;0;"< 40"
"351";35;"F";"S";"C";8;NA;"Transports et Service";"BAC";4;3;"< 40"
"352";43;"M";"W";"M";14,5;NA;"Gestion et Vente";"BAC+3";3;1;">= 100"
"353";24;"M";"NE";"C";11;NA;"Gestion et Vente";"BAC+2";5;0;">= 100"
"354";28;"F";"NW";"C";14,55;NA;"Gestion et Vente";"BAC+2";4;2;"< 40"
"355";30;"F";"S";"M";7,25;"non";"Profession liberale";"BAC";4;2;"40 - < 60"
"356";17;"F";"W";"C";9;NA;"Transports et Service";"Sans diplome";3;0;">= 100"
"357";43;"F";"NE";"S";7;NA;"Profession liberale";"Autre";4;1;"< 40"
"358";52;"F";"S";"D";18;"non";"Profession liberale";"BAC";2;0;"40 - < 60"
"359";56;"M";"S";"M";21,4;"non";"Construction et Maintenance";"BAC";2;0;">= 100"
"360";35;"M";"W";"C";9,5;NA;"Transports et Service";"BAC";1;0;"< 40"
"361";42;"F";NA;NA;NA;NA;NA;NA;NA;NA;NA
"362";29;"F";"S";"M";16,83;NA;"Employe";"BAC+5";4;1;">= 100"
"363";58;"F";"S";"M";9;"non";"Transports et Service";"BAC+3";3;0;"< 40"
"364";28;"M";"S";"M";22,11;NA;"Gestion et Vente";"Autre";2;0;"40 - < 60"
"365";60;"M";"NE";"M";22,45;NA;"Gestion et Vente";"BAC+3";3;0;"40 - < 60"
"366";61;"M";"S";"M";12,5;NA;"Employe";"BAC";2;0;"60 - < 100"
"367";43;"F";"S";"M";NA;NA;"Profession liberale";"BAC";4;2;"40 - < 60"
"368";34;"F";"NW";"C";8;"non";"Profession liberale";"BAC";2;0;"< 40"
"369";44;"M";NA;"M";NA;NA;"Construction et Maintenance";"BAC";NA;NA;"60 - < 100"
"370";55;"M";"S";"M";13,81;NA;"Construction et Maintenance";"BAC";2;0;"60 - < 100"
"371";50;"M";NA;NA;NA;NA;NA;NA;NA;NA;NA
"372";67;"F";"S";"D";NA;NA;"Transports et Service";"BAC+3";2;0;"40 - < 60"
"373";35;"M";"S";"D";8,5;"non";"Transports et Service";"BAC";2;0;"< 40"
"374";30;"F";"NW";"C";14,25;NA;"Employe";"BAC+3";2;0;"60 - < 100"
"375";51;"M";"W";"M";8,5;NA;"Construction et Maintenance";"Sans diplome";4;0;"< 40"
"376";48;"M";"W";"M";10;"non";"Transports et Service";"BAC+2";3;1;"< 40"
"377";39;"F";NA;NA;NA;"non";NA;NA;3;1;"< 40"
"378";19;"F";"S";"C";3,05;NA;"Transports et Service";"BAC";4;0;"< 40"
"379";59;"M";"NE";"M";30,67;"oui";"Gestion et Vente";"BAC+3";3;0;">= 100"
"380";37;"F";"W";"C";17;NA;"Employe";"BAC";4;0;"< 40"
"381";20;"M";"NE";"C";7,75;"non";"Transports et Service";"BAC";2;0;"< 40"
"382";65;"F";"W";"D";16;NA;"Gestion et Vente";"BAC+5";1;0;"60 - < 100"
"383";44;"F";"S";"S";12;NA;"Employe";"BAC";3;0;"40 - < 60"
"384";23;"M";"NW";"S";NA;NA;NA;NA;3;NA;NA
"385";60;"F";NA;NA;NA;NA;NA;NA;NA;NA;NA
"386";23;"M";"NW";"C";15;NA;"Gestion et Vente";"BAC+3";3;0;"60 - < 100"
"387";19;"F";"NE";"C";8;NA;"Transports et Service";"Sans diplome";3;0;"60 - < 100"
"388";26;"M";"S";"C";2,25;NA;"Construction et Maintenance";"BAC+2";1;0;"40 - < 60"
"389";24;"M";"NW";"C";18;NA;"Transports et Service";"BAC+3";3;0;NA
"390";55;"F";"NW";"M";8;NA;"Profession liberale";"BAC";3;0;"40 - < 60"
"391";60;"F";"NW";"M";NA;NA;"Gestion et Vente";"BAC+5";2;0;">= 100"
"392";45;"M";"S";"M";NA;"non";"Gestion et Vente";"BAC+3";4;1;"60 - < 100"
"393";61;"M";"W";"M";60;NA;"Transports et Service";"BAC+5";4;2;">= 100"
"394";27;"M";"S";"C";NA;NA;"Profession liberale";"BAC+3";3;0;">= 100"
"395";76;"M";"S";"M";21;"non";"Transports et Service";"BAC";3;0;"60 - < 100"
"396";65;"F";"NW";"M";NA;"oui";"Gestion et Vente";"BAC+3";2;0;">= 100"
"397";42;"M";"W";"M";NA;"oui";"Construction et Maintenance";"Sans diplome";5;3;"60 - < 100"
"398";56;"M";"NE";"C";NA;NA;"Profession liberale";"BAC+5";1;0;"40 - < 60"
"399";48;"M";NA;"C";NA;NA;"Profession liberale";"BAC";3;0;">= 100"
"400";42;"M";"W";"M";8;"non";"Profession liberale";"Sans diplome";5;1;"< 40"
"401";53;"M";"NW";"D";62;NA;"Gestion et Vente";"BAC+3";NA;0;">= 100"
"402";43;"F";"NW";"M";40;"oui";"Gestion et Vente";"BAC+2";3;1;"40 - < 60"
"403";53;"F";"W";"C";NA;"non";"Employe";"BAC+5";3;0;"60 - < 100"
"404";55;"M";"S";"M";37;NA;"Construction et Maintenance";"BAC";3;0;NA
"405";35;"F";"NW";"C";22;"non";"Gestion et Vente";"BAC+3";2;0;"40 - < 60"
"406";64;"F";"S";"M";20;"non";"Gestion et Vente";"BAC";2;0;"40 - < 60"
"407";42;"F";"W";"C";11,2;NA;"Transports et Service";"BAC";2;0;"< 40"
"408";39;"M";"S";"D";30;"non";"Profession liberale";"BAC";8;2;">= 100"
"409";51;"M";"NW";"D";NA;NA;"Construction et Maintenance";"BAC";1;0;"< 40"
"410";19;"F";NA;NA;NA;NA;"Gestion et Vente";NA;4;0;">= 100"
"411";44;"M";"W";"M";10;NA;"Production et Agriculture";"Sans diplome";7;4;"40 - < 60"
"412";34;"M";"NW";"M";17,8;"non";"Profession liberale";"BAC";4;2;"60 - < 100"
"413";39;"F";"S";"M";55;NA;"Gestion et Vente";"BAC+3";2;0;">= 100"
"414";25;"M";"W";"C";24;"non";"Construction et Maintenance";"BAC+2";2;0;"60 - < 100"
"415";47;"M";"NE";"M";NA;"non";"Transports et Service";"BAC";3;NA;">= 100"
"416";36;"F";"S";"M";21,5;NA;"Employe";"BAC+3";4;2;"60 - < 100"
"417";56;"F";"W";"M";NA;"non";"Gestion et Vente";"BAC+5";4;2;"40 - < 60"
"418";49;"F";"S";"M";NA;NA;"Profession liberale";"BAC";3;1;"40 - < 60"
"419";21;"M";"W";"C";NA;"non";"Transports et Service";"BAC+2";8;0;">= 100"
"420";46;"F";"S";"M";12;NA;"Transports et Service";"BAC+3";3;1;"40 - < 60"
"421";56;"M";"S";"M";17;"non";"Production et Agriculture";"BAC";2;0;"40 - < 60"
"422";31;"F";"W";"M";10,5;"non";"Transports et Service";"BAC";5;2;"40 - < 60"
"423";40;"F";"NE";"S";12,5;NA;"Employe";"BAC";1;0;"< 40"
"424";27;"M";"NW";"C";17,5;NA;"Production et Agriculture";"BAC";2;0;"60 - < 100"
"425";31;"M";"NE";"M";23,92;NA;"Gestion et Vente";"BAC+3";2;0;">= 100"
"426";25;"M";"S";"M";NA;NA;"Profession liberale";"BAC+3";2;0;">= 100"
"427";52;"M";"W";"M";15,23;NA;"Transports et Service";"BAC+3";7;0;"60 - < 100"
"428";23;"M";NA;"C";12;NA;"Construction et Maintenance";"BAC";1;0;"< 40"
"429";41;"F";"S";"M";13;NA;"Transports et Service";"Sans diplome";3;0;"< 40"
"430";39;"F";"NW";"C";NA;NA;"Gestion et Vente";"BAC+3";3;0;"40 - < 60"
"431";37;"F";"NW";"C";28;NA;"Gestion et Vente";"BAC+3";4;0;"60 - < 100"
"432";33;"M";"NE";"M";18,45;"oui";"Profession liberale";"BAC+2";4;2;"60 - < 100"
"433";33;"F";"S";"D";NA;NA;"Gestion et Vente";NA;2;1;"40 - < 60"
"434";61;"F";"S";"C";29;NA;"Gestion et Vente";"BAC";1;0;"< 40"
"435";52;"F";"NW";"M";NA;NA;"Production et Agriculture";"BAC";4;1;"60 - < 100"
"436";23;"F";"NE";"C";9,25;"non";"Profession liberale";"BAC";5;0;"< 40"
"437";27;"F";"NE";"C";15,54;"non";"Profession liberale";"BAC";3;1;"60 - < 100"
"438";55;"F";"NE";"M";11,24;"non";"Employe";"BAC";2;0;"60 - < 100"
"439";50;"F";"S";"C";8,5;NA;"Profession liberale";"Sans diplome";3;0;"< 40"
"440";27;"F";"S";"C";15;NA;"Gestion et Vente";"BAC";2;0;NA
"441";65;"F";"NW";"M";NA;NA;"Employe";"BAC+3";2;0;"40 - < 60"
"442";62;"F";"NW";"D";NA;NA;"Transports et Service";"BAC";1;0;"< 40"
"443";29;"M";NA;NA;NA;NA;NA;"BAC+3";2;0;NA
"444";49;"F";"NW";"M";15;NA;"Employe";"BAC+2";2;0;">= 100"
"445";21;"F";"S";"C";2,5;NA;"Transports et Service";"BAC";2;0;"40 - < 60"
"446";50;"M";"S";NA;NA;NA;NA;"BAC";1;0;NA
"447";47;"F";"NW";"M";14;NA;"Transports et Service";"BAC";5;1;">= 100"
"448";40;"M";"W";"M";14,24;NA;NA;"BAC";2;0;"60 - < 100"
"449";21;"M";"S";"C";NA;"non";"Transports et Service";"BAC";6;0;"< 40"
"450";40;"F";"W";"M";9,25;NA;"Transports et Service";"BAC";4;1;"< 40"
"451";38;"M";"W";"M";12,15;NA;"Transports et Service";"BAC";6;0;"< 40"
"452";47;"M";"S";"M";10;NA;"Production et Agriculture";"BAC";6;2;"< 40"
"453";57;"M";"S";"C";19;NA;"Production et Agriculture";"BAC";4;1;"60 - < 100"
"454";63;"M";"NW";"M";NA;NA;"Construction et Maintenance";"BAC";NA;0;"40 - < 60"
"455";53;"F";"S";"M";8;"non";"Transports et Service";"BAC";3;0;"< 40"
"456";57;"F";"NW";"D";9,1;NA;"Transports et Service";"BAC";1;0;"< 40"
"457";49;"M";"NW";"M";NA;NA;"Profession liberale";"BAC";3;0;"60 - < 100"
"458";62;"F";NA;NA;NA;NA;NA;NA;NA;NA;">= 100"
"459";23;"F";"NW";"C";NA;NA;"Transports et Service";"BAC";2;0;"< 40"
"460";25;"M";"NE";"C";22;"non";"Employe";"BAC+2";5;0;">= 100"
"461";34;"F";"NE";"C";8;NA;"Transports et Service";"BAC";6;1;">= 100"
"462";29;"M";"S";"D";12;NA;"Construction et Maintenance";"BAC";1;0;"< 40"
"463";30;"M";"W";"C";20;NA;"Gestion et Vente";"BAC";3;0;">= 100"
"464";54;"M";"NE";"M";43;NA;"Gestion et Vente";"BAC+2";3;0;"60 - < 100"
"465";51;"M";"W";"D";22;"non";"Construction et Maintenance";"BAC";1;0;"< 40"
"466";51;"M";"S";"M";14,75;"oui";"Transports et Service";"BAC";3;0;"60 - < 100"
"467";61;"M";"W";"M";24,37;NA;"Construction et Maintenance";"BAC";3;0;"60 - < 100"
"468";40;"M";"NE";"M";NA;NA;"Construction et Maintenance";"BAC";5;3;"< 40"
"469";66;"M";"NW";"M";10;NA;"Transports et Service";NA;NA;NA;NA
"470";38;"F";"NE";"M";NA;NA;"Transports et Service";"BAC";4;2;"60 - < 100"
"471";47;"F";"S";"D";20,6;NA;"Transports et Service";"BAC";4;0;"< 40"
"472";31;"F";"W";"M";NA;NA;"Employe";"BAC";5;3;"40 - < 60"
"473";63;"M";"S";"M";23,23;NA;"Production et Agriculture";"BAC+2";2;0;"60 - < 100"
"474";42;"F";NA;NA;NA;NA;NA;NA;NA;NA;"< 40"
"475";32;"M";"W";"C";13;NA;"Production et Agriculture";"Sans diplome";4;2;"< 40"
"476";28;"F";"W";"C";12;"non";"Employe";"BAC";2;1;"< 40"
"477";62;"F";"NE";"D";NA;NA;"Gestion et Vente";"BAC+3";1;0;"60 - < 100"
"478";33;"F";"NE";"M";14;NA;"Employe";"BAC+3";2;0;"60 - < 100"
"479";39;"M";"NE";"M";18;"non";"Construction et Maintenance";"BAC+3";2;0;"40 - < 60"
"480";70;"M";"NW";"M";60;NA;"Gestion et Vente";"BAC+3";3;0;">= 100"
"481";51;"F";"NE";"M";25;NA;"Transports et Service";"BAC";3;0;">= 100"
"482";37;"M";"NW";"M";NA;NA;NA;NA;3;1;NA
"483";34;"F";"W";"M";12;NA;"Gestion et Vente";"BAC+3";2;0;">= 100"
"484";23;"F";"S";"M";12;"non";"Profession liberale";"BAC";3;1;"40 - < 60"
"485";50;"M";"S";"M";13,57;"non";"Construction et Maintenance";"BAC";2;0;"40 - < 60"
"486";31;"F";"S";"C";17,2;NA;"Profession liberale";"BAC";3;1;"< 40"
"487";69;"F";"W";"D";10,75;NA;"Employe";"BAC";1;0;"< 40"
"488";25;"M";"S";"M";21;NA;"Transports et Service";"BAC+3";2;0;"60 - < 100"
"489";62;"F";"S";"M";25;"non";"Employe";"BAC";2;0;"60 - < 100"
"490";59;"M";"NE";NA;NA;NA;NA;"Sans diplome";NA;NA;NA
"491";25;"F";"W";"M";9;NA;"Production et Agriculture";"Sans diplome";13;2;"< 40"
"492";61;"M";"S";"M";29,5;NA;"Profession liberale";"BAC";3;0;">= 100"
"493";41;"M";"S";"D";42;NA;"Gestion et Vente";"BAC+3";NA;0;"60 - < 100"
"494";61;"F";NA;NA;NA;NA;NA;NA;NA;NA;NA
"495";35;"M";"S";"M";20;NA;"Construction et Maintenance";"BAC";3;1;"40 - < 60"
"496";56;"F";"NW";"M";11;NA;"Employe";"BAC";5;0;"60 - < 100"
"497";23;"F";"S";"C";9,15;NA;"Profession liberale";"BAC";3;NA;"< 40"
"498";25;"M";"W";"M";8;"oui";"Construction et Maintenance";"BAC";6;0;"< 40"
"499";29;"M";"NW";"M";13,5;"non";"Production et Agriculture";"BAC";4;2;"< 40"
"500";44;"M";"S";"C";55;NA;"Gestion et Vente";NA;NA;NA;NA
"501";23;"M";"NE";"C";11,5;NA;"Profession liberale";"BAC";2;0;"40 - < 60"
"502";21;"F";NA;NA;12;NA;NA;"BAC";NA;NA;NA
"503";32;"F";"S";"M";26,1;NA;"Gestion et Vente";"BAC+2";2;0;"60 - < 100"
"504";19;"M";"S";"C";NA;NA;"Transports et Service";"BAC";6;1;"< 40"
"505";24;"F";"NE";"C";10;NA;"Transports et Service";"BAC";3;0;"< 40"
"506";19;"M";"NW";"M";9;NA;"Production et Agriculture";"BAC";4;1;"< 40"
"507";53;"M";"S";"M";NA;NA;"Construction et Maintenance";"BAC";2;0;"< 40"
"508";50;"F";"NW";"M";10,1;NA;"Profession liberale";"BAC+2";4;0;"40 - < 60"
"509";31;"M";"W";"C";5,44;NA;"Transports et Service";"BAC";4;2;"< 40"
"510";38;"M";NA;NA;NA;NA;NA;NA;NA;NA;NA
"511";23;"M";"NE";"C";9,5;"non";"Transports et Service";"BAC";1;0;"< 40"
"512";48;"M";"S";"M";22,4;NA;"Profession liberale";"BAC+3";6;0;">= 100"
"513";65;"F";"S";"D";NA;"non";"Profession liberale";"BAC";1;0;"< 40"
"514";21;"F";"W";"C";14;NA;"Profession liberale";"BAC";3;0;"40 - < 60"
"515";22;"F";"NW";"C";3;NA;"Transports et Service";"BAC";2;0;">= 100"
"516";56;"M";"W";"M";20;NA;"Employe";"BAC+3";2;0;">= 100"
"517";28;"M";"NW";"C";NA;NA;"Production et Agriculture";"BAC";2;0;NA
"518";30;"F";NA;NA;NA;NA;NA;NA;NA;NA;NA
"519";45;"F";"NE";"M";NA;"non";"Profession liberale";"BAC";3;0;"40 - < 60"
"520";25;"M";"W";"C";NA;NA;NA;NA;NA;0;"< 40"
"521";29;"F";"NW";"M";13,36;NA;"Gestion et Vente";"BAC+2";5;3;"60 - < 100"
"522";39;"M";"NE";"C";18,2;NA;"Production et Agriculture";"BAC";2;0;"< 40"
"523";55;"M";"NW";"M";NA;NA;"Construction et Maintenance";"BAC";2;0;"40 - < 60"
"524";16;"M";"NE";"C";8;NA;"Production et Agriculture";"Sans diplome";4;0;"40 - < 60"
"525";40;"F";"NE";"M";12,5;"non";"Employe";"BAC";4;2;"60 - < 100"
"526";42;"F";"W";"C";23;NA;"Transports et Service";"BAC+5";1;0;"60 - < 100"
"527";25;"F";"NE";"S";11,4;"non";"Employe";NA;2;1;"40 - < 60"
"528";44;"F";"NE";"D";25;NA;"Transports et Service";"BAC";2;1;"< 40"
"529";80;"M";"W";"M";NA;"oui";"Profession liberale";"BAC";4;0;"40 - < 60"
"530";40;"F";"NW";"M";10;"non";"Transports et Service";"BAC";3;1;"40 - < 60"
"531";21;"M";"NE";"C";13,46;NA;"Gestion et Vente";"BAC";2;0;"< 40"
"532";40;"M";"W";"M";NA;NA;"Transports et Service";"Sans diplome";4;2;"40 - < 60"
"533";40;"F";"S";"M";15;NA;"Transports et Service";"Autre";6;3;"60 - < 100"
"534";29;"F";"S";"M";10,5;"non";"Employe";"BAC+2";2;0;"40 - < 60"
"535";42;"M";"W";"M";20;NA;"Production et Agriculture";"Sans diplome";4;1;"40 - < 60"
"536";26;"F";"NW";"M";10;NA;"Profession liberale";"BAC";2;0;">= 100"
"537";45;"M";"S";"D";15;"oui";"Transports et Service";"BAC";4;2;">= 100"
"538";28;"M";"S";"M";12;NA;"Gestion et Vente";"BAC+3";6;3;"40 - < 60"
"539";29;"M";"NE";"C";12;NA;"Gestion et Vente";"BAC";4;0;"40 - < 60"
"540";67;"F";NA;NA;NA;NA;"Gestion et Vente";NA;1;0;NA
"541";55;"F";"NW";"M";9,8;"non";"Gestion et Vente";"BAC+3";3;0;"60 - < 100"
"542";42;"F";"W";"M";26,48;NA;"Gestion et Vente";"BAC+5";4;2;"60 - < 100"
"543";21;"M";"NW";"C";15,89;NA;NA;"BAC";1;0;"< 40"
"544";47;"M";"NE";"M";12;NA;"Employe";"BAC+3";3;1;"40 - < 60"
"545";33;"F";"S";"D";12,25;NA;"Employe";"BAC";3;2;"< 40"
"546";35;"M";"W";"C";25;"non";"Profession liberale";"BAC+3";1;0;"< 40"
"547";29;"F";"S";"M";25,98;NA;"Employe";"BAC";4;2;">= 100"
"548";60;"F";NA;"M";NA;NA;NA;NA;NA;NA;NA
"549";38;"F";"S";"S";NA;"non";"Transports et Service";"BAC";4;1;"< 40"
"550";54;"M";"S";"M";NA;NA;"Gestion et Vente";"BAC+2";2;0;">= 100"
"551";57;"M";"S";"M";26,85;NA;"Construction et Maintenance";"BAC";NA;0;"< 40"
"552";28;"M";"S";"C";12;NA;"Employe";"BAC";3;0;"60 - < 100"
"553";32;"M";"W";"C";16,37;NA;"Transports et Service";"BAC";2;0;"40 - < 60"
"554";20;"F";"W";"C";15;NA;"Gestion et Vente";"BAC";3;0;">= 100"
"555";37;"F";"NE";NA;9,25;"non";"Gestion et Vente";"BAC";6;4;"< 40"
"556";31;"M";"S";"M";9;NA;"Transports et Service";"BAC";4;2;"40 - < 60"
"557";53;"F";"S";"M";13;NA;"Employe";"BAC";2;0;"60 - < 100"
"558";56;"M";"NW";"M";21,5;"oui";"Gestion et Vente";"BAC+3";3;1;"60 - < 100"
"559";43;"F";"S";"M";10;"non";"Gestion et Vente";"BAC+3";5;3;">= 100"
"560";37;"F";"NE";"M";NA;"non";"Transports et Service";"Sans diplome";3;2;"< 40"
"561";30;"M";"S";"S";14,18;NA;"Production et Agriculture";"BAC";3;2;"< 40"
"562";42;"F";"W";"C";NA;"oui";"Gestion et Vente";"BAC+2";3;2;"< 40"
"563";30;"M";"NE";"C";33;NA;"Gestion et Vente";"BAC+8";5;0;">= 100"
"564";28;"F";NA;"M";90;NA;"Transports et Service";"BAC+2";NA;NA;NA
"565";61;"M";"W";"M";28,1;"non";"Profession liberale";"BAC";4;0;"40 - < 60"
"566";52;"M";"NE";"C";19,52;"oui";"Employe";"BAC";1;0;"< 40"
"567";39;"M";"NW";"C";17;NA;"Employe";"BAC";1;0;"< 40"
"568";48;"M";"NE";"C";NA;"non";"Production et Agriculture";"BAC+2";1;0;"40 - < 60"
"569";60;"F";"W";"D";NA;"non";"Gestion et Vente";"BAC";2;0;">= 100"
"570";48;"F";"W";"M";15;NA;"Employe";"BAC+3";3;0;"40 - < 60"
"571";54;"F";"W";"V";14;"non";"Employe";"BAC+2";2;0;"< 40"
"572";47;"F";"W";"M";NA;NA;"Profession liberale";"BAC+3";3;0;">= 100"
"573";47;"M";"NE";"M";24;NA;"Employe";"BAC";2;0;"60 - < 100"
"574";56;"M";"S";"M";NA;"non";"Production et Agriculture";"BAC";2;0;"40 - < 60"
"575";24;"F";"W";"C";17,5;"non";"Profession liberale";"BAC+3";2;0;"40 - < 60"
"576";51;"M";"NW";"D";8,75;NA;"Transports et Service";"BAC+2";2;0;"< 40"
"577";23;"M";"NW";"D";NA;"non";"Construction et Maintenance";"BAC";3;0;">= 100"
"578";21;"F";"S";"C";11;NA;"Profession liberale";NA;NA;NA;NA
"579";56;"F";"S";"D";15,95;NA;"Profession liberale";"BAC+3";2;0;"60 - < 100"
"580";47;"M";"NE";"M";NA;NA;NA;"BAC";NA;0;NA
"581";32;"F";"S";"M";20,74;NA;"Employe";"BAC+3";4;0;">= 100"
"582";65;"F";"NE";"M";20;NA;"Employe";"BAC";2;0;"60 - < 100"
"583";22;"M";"NE";"C";11;NA;"Transports et Service";"BAC+3";4;0;">= 100"
"584";24;"M";"S";"M";14,5;NA;"Profession liberale";"BAC+2";3;1;"40 - < 60"
"585";67;"M";"S";NA;NA;NA;NA;"BAC+3";2;0;NA
"586";65;"M";"NW";"M";17,5;NA;"Profession liberale";"BAC+2";1;0;"< 40"
"587";21;"F";"S";NA;NA;"non";NA;NA;2;NA;"< 40"
"588";27;"F";"NE";"M";24,5;NA;"Gestion et Vente";"BAC+2";2;0;"60 - < 100"
"589";23;"M";"W";"C";13,52;NA;"Construction et Maintenance";"BAC";4;0;"40 - < 60"
"590";50;"F";"NE";"D";NA;NA;"Transports et Service";"BAC";2;1;"< 40"
"591";32;"F";NA;"D";17;NA;NA;"BAC+3";NA;NA;"40 - < 60"
"592";24;"F";"W";"C";10,58;NA;"Production et Agriculture";"BAC+3";8;0;"60 - < 100"
"593";61;"M";"NW";"C";NA;NA;"Construction et Maintenance";"BAC";1;0;"< 40"
"594";63;"M";"NE";"M";10,5;NA;"Profession liberale";"BAC";2;0;"60 - < 100"
"595";51;"F";"S";"M";29,8;NA;"Gestion et Vente";"BAC+2";2;0;"60 - < 100"
"596";29;"F";"NE";"C";27;NA;"Profession liberale";"BAC+3";2;0;">= 100"
"597";57;"F";"NW";"D";21;NA;"Profession liberale";"BAC";1;0;"60 - < 100"
"598";29;"F";"W";"M";13;NA;"Employe";"BAC";6;4;"40 - < 60"
"599";47;"M";"S";"C";14,5;NA;"Profession liberale";"BAC";1;0;"40 - < 60"
