"id","neighbourhood","latitude","longitude","room_type","price"
4956367,"Batignolles-Monceau",48.8791025961076,2.29963255624321,"Entire home/apt",550
9983296,"Batignolles-Monceau",48.8953079529193,2.32216724745706,"Entire home/apt",53
6287908,"Batignolles-Monceau",48.8868231972293,2.31513495533367,"Entire home/apt",70
1302438,"Batignolles-Monceau",48.8884381850754,2.3130106220152,"Entire home/apt",45
7335482,"Batignolles-Monceau",48.8925740483502,2.3182120591408,"Entire home/apt",50
9422714,"Batignolles-Monceau",48.8847594873012,2.30885246750385,"Entire home/apt",290
8497451,"Batignolles-Monceau",48.8898107325118,2.32502743255242,"Entire home/apt",98
593465,"Batignolles-Monceau",48.8825480926258,2.29268762656282,"Entire home/apt",115
1329781,"Batignolles-Monceau",48.8772937301969,2.29483560924808,"Entire home/apt",170
9719343,"Batignolles-Monceau",48.8840954035412,2.31513885176211,"Entire home/apt",100
7048241,"Batignolles-Monceau",48.883837364859,2.32585626173338,"Entire home/apt",75
4290277,"Batignolles-Monceau",48.8846104843891,2.32370942099887,"Entire home/apt",190
1065119,"Batignolles-Monceau",48.8892924946,2.32432195998215,"Entire home/apt",50
7618606,"Batignolles-Monceau",48.8952755161402,2.31672828265733,"Private room",20
4321782,"Batignolles-Monceau",48.8918094813038,2.32016595434457,"Entire home/apt",90
514412,"Batignolles-Monceau",48.8893316720854,2.32610473294012,"Entire home/apt",58
7878085,"Batignolles-Monceau",48.8916848301184,2.3171688008279,"Entire home/apt",75
6289165,"Batignolles-Monceau",48.8919373823164,2.32182094574592,"Entire home/apt",70
9951456,"Batignolles-Monceau",48.8827430343821,2.31332458199211,"Private room",33
5638360,"Batignolles-Monceau",48.8853037431274,2.31654430620849,"Entire home/apt",40
8799167,"Batignolles-Monceau",48.8789070433371,2.29510089038055,"Entire home/apt",80
541503,"Batignolles-Monceau",48.8859863594472,2.31864549044371,"Entire home/apt",70
9300900,"Batignolles-Monceau",48.8855818231707,2.29696249594754,"Shared room",66
9227077,"Batignolles-Monceau",48.8871015477486,2.29976533899756,"Entire home/apt",76
8796272,"Batignolles-Monceau",48.8815684147453,2.29428465245332,"Entire home/apt",75
